run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200524-21:49:27-17542,runattr,,,configname,General,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,datetime,20200524-21:49:27,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,experiment,General,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,iterationvars,,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,iterationvarsf,,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,measurement,,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,processid,17542,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,repetition,0,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,replication,#0,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,resultdir,results,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,runnumber,0,,,,,,,
General-0-20200524-21:49:27-17542,runattr,,,seedset,0,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.annotations.draw,true,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.manager.port,9999,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200524-21:49:27-17542,param,,,*.rsu[0].mobility.x,1399,,,,,,,
