run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200609-20:33:34-19320,runattr,,,configname,General,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,datetime,20200609-20:33:34,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,experiment,General,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,iterationvars,,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,iterationvarsf,,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,measurement,,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,processid,19320,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,repetition,0,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,replication,#0,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,resultdir,results,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,runnumber,0,,,,,,,
General-0-20200609-20:33:34-19320,runattr,,,seedset,0,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.annotations.draw,true,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.manager.port,9999,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.rsu[0].mobility.x,1399,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.rsu[0].mobility.y,1512,,,,,,,
General-0-20200609-20:33:34-19320,param,,,*.rsu[0].mobility.z,3,,,,,,,
