run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200523-00:21:05-3497,runattr,,,configname,General,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,datetime,20200523-00:21:05,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,experiment,General,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,iterationvars,,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,iterationvarsf,,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,measurement,,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,processid,3497,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,repetition,0,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,replication,#0,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,resultdir,results,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,runnumber,0,,,,,,,
General-0-20200523-00:21:05-3497,runattr,,,seedset,0,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.annotations.draw,true,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.manager.port,9999,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.rsu[0].mobility.x,1399,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.rsu[0].mobility.y,1512,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.rsu[0].mobility.z,3,,,,,,,
General-0-20200523-00:21:05-3497,param,,,*.rsu[1].mobility.x,1461,,,,,,,
