run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200523-01:32:04-7140,runattr,,,configname,General,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,datetime,20200523-01:32:04,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,experiment,General,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,iterationvars,,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,iterationvarsf,,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,measurement,,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,processid,7140,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,repetition,0,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,replication,#0,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,resultdir,results,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,runnumber,0,,,,,,,
General-0-20200523-01:32:04-7140,runattr,,,seedset,0,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.annotations.draw,true,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.manager.port,9999,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.rsu[0].mobility.x,1399,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.rsu[0].mobility.y,1512,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.rsu[0].mobility.z,3,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.rsu[1].mobility.x,1461,,,,,,,
General-0-20200523-01:32:04-7140,param,,,*.rsu[1].mobility.y,1456,,,,,,,
