run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20200523-12:56:09-29150,runattr,,,configname,General,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,datetime,20200523-12:56:09,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,experiment,General,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,inifile,omnetpp.ini,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,iterationvars,,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,iterationvarsf,,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,measurement,,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,network,RSUExampleScenariomine,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,processid,29150,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,repetition,0,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,replication,#0,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,resultdir,results,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,runnumber,0,,,,,,,
General-0-20200523-12:56:09-29150,runattr,,,seedset,0,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.playgroundSizeX,3500m,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.playgroundSizeY,2000m,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.playgroundSizeZ,50m,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.annotations.draw,true,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.manager.updateInterval,1s,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.manager.host,"""localhost""",,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.manager.port,9999,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.manager.autoShutdown,true,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.manager.launchConfig,"xmldoc(""erlangen.launchd.xml"")",,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.rsu[0].mobility.x,1399,,,,,,,
General-0-20200523-12:56:09-29150,param,,,*.rsu[0].mobility.y,1512,,,,,,,
